customer_id,customer_name,email,phone,total_orders,avg_order_value
31813,Indrajit Pau,ektataneja@example.org,919235462385,18,1230.75
31826,Ekiya Pau,vedant45@example.com,919235462386,18,752.78
61020,Onkar Suresh,samiazaan@example.com,919235462387,19,1703.16
75482,Jeet Gandhi,ishanvi87@example.org,919235462388,13,1938.38
119099,Zansi Parsa,atideshpande@example.org,919235462389,20,637.35
188838,Idika Basu,ynayar@example.org,919235462390,12,799.11
191616,Brijesh Tata,zehaanmahajan@example.org,919235462391,4,1053.7
211163,Hiral Baral,pathakanirudh@example.org,919235462392,9,1169.11
243838,Sudiksha Nagar,sneha11@example.com,919235462393,11,1158.27
376144,Ira Chhabra,hwarrior@example.org,919235462394,13,1784.32
408590,Januja Zachariah,pushti81@example.net,919235462395,17,436.74
469006,Shivansh Loyal,zinalsarna@example.com,919235462396,2,1393.2
625395,Leena Loyal,mpandit@example.org,919235462397,4,1794.26
644189,Tanay Sahni,peterdhaliwal@example.org,919235462398,2,793.86
666589,Kevin Bassi,kalpithayre@example.net,919235462399,15,465.38
701493,Ekaraj Saini,aaravdugar@example.com,919235462400,2,290.07
767523,Maya Khosla,naidushivani@example.org,919235462401,13,1737.28
773410,Ladli Saha,vincent81@example.com,919235462402,13,1694.79
820740,Mekhala Sathe,htella@example.org,919235462403,1,1385.46
894128,Chatura Agarwal,bhattlakshit@example.com,919235462404,5,1323.32
899941,Lopa Venkataraman,xshetty@example.net,919235462405,18,1202.35
949062,Jackson Karpe,balakrishnanyutika@example.net,919235462406,19,1947.14
954629,Fiyaz Mand,abhirambabu@example.com,919235462407,14,1390.08
966247,Jeevika Deo,tmaster@example.com,919235462408,13,1110.76
1060685,Yadavi Rajagopalan,hemangini55@example.com,919235462409,4,999.24
1108176,Charita Chad,shivansh35@example.com,919235462410,20,1460.76
1134585,Bhavani Rau,ranveer19@example.net,919235462411,8,1975.21
1152215,Yachana Pathak,shivani15@example.net,919235462412,2,1637.43
1174162,Anirudh Vig,pandeymahika@example.org,919235462413,12,1255.44
1200365,Avni Mistry,morejagdish@example.net,919235462414,1,1170.74
1301661,Yashvi Parekh,gaurika82@example.com,919235462415,8,623.8
1313292,Robert Kaur,chowdhuryimaran@example.net,919235462416,20,1275.41
1342184,Girish Sem,xtalwar@example.org,919235462417,20,1893.83
1449273,Forum Deol,agrawalmugdha@example.com,919235462418,12,1758.24
1469696,Gaurangi Banerjee,darsh33@example.net,919235462419,6,1784.79
1479065,Keya Grover,vasatika03@example.net,919235462420,17,1597.83
1491857,Naveen Balakrishnan,daliaoviya@example.com,919235462421,9,855.24
1497747,Nachiket Kalla,bbumb@example.org,919235462422,7,1241.73
1507408,Kai Gara,atwalmeghana@example.org,919235462423,8,972.22
1529180,Darsh Gokhale,falaksunder@example.org,919235462424,5,596.54
1562083,Madhavi Mishra,mason40@example.net,919235462425,13,695.02
1588560,Jeremiah Nath,xbarad@example.net,919235462426,10,945.18
1589656,Xiti Prabhu,ishanimaharaj@example.net,919235462427,13,1548.76
1601161,Chanchal Thakur,prabhudaksha@example.com,919235462428,1,589.31
1603358,Samaksh Randhawa,bbala@example.com,919235462429,5,1155.87
1624115,Saksham Atwal,madhavi33@example.com,919235462430,2,331.1
1655637,Turvi Radhakrishnan,gsampath@example.net,919235462431,19,723.95
1662375,Tanmayi Yohannan,jminhas@example.net,919235462432,7,1350.81
1683786,Urvashi Balan,xdash@example.org,919235462433,14,776.52
1697604,Arjun Deep,arjunbandi@example.com,919235462434,6,1970.15
1705969,Qasim Kalla,qabil65@example.net,919235462435,20,877
1719710,Pushti Sabharwal,ekaniparmer@example.org,919235462436,2,1332.82
1771249,Samesh Devi,tristantank@example.org,919235462437,4,790.78
1816969,Tejas Pillai,samarthpandey@example.com,919235462438,2,1902.69
1855421,Jasmit Kibe,issacjalsa@example.net,919235462439,10,260.2
1989720,Anusha Bahri,wallaarunima@example.org,919235462440,6,239.76
2058037,Yutika Badal,bhavika36@example.net,919235462441,11,1797.02
2114782,Brinda Jha,sbalasubramanian@example.net,919235462442,3,1354.66
2134827,Vasudha Kalita,dugarpooja@example.org,919235462443,10,1710.75
2136830,Bhavya Goswami,nkaran@example.com,919235462444,4,485.78
2164524,Kamala Natt,xhanda@example.com,919235462445,1,754.95
2188994,Bimala Mitra,rachana02@example.net,919235462446,6,484.51
2219590,Upadhriti Sandhu,lchoudhary@example.net,919235462447,20,756.84
2233446,Wakeeta Pillay,mahika95@example.net,919235462448,6,1466.45
2234490,Amara Gala,gramesh@example.org,919235462449,8,1540.25
2361575,Aarnav Seth,divyaluthra@example.com,919235462450,19,1993.09
2365348,Zashil Varghese,aggarwalhenry@example.org,919235462451,11,1133.51
2391900,Nisha Gokhale,hemanimander@example.net,919235462452,17,897.78
2400009,Jonathan Korpal,bhargavanachiket@example.org,919235462453,7,1328.35
2414265,Ayushman Bala,sanyathaman@example.org,919235462454,6,571.92
2442235,Pushti Bhattacharyya,gourkeya@example.org,919235462455,11,661.58
2457734,Onkar Garg,samesh12@example.com,919235462456,12,923.06
2517955,Charan Sharma,dalbir15@example.org,919235462457,7,1625.44
2558646,Vyanjana Dara,agatedaksh@example.com,919235462458,10,920.89
2566268,Arjun Ratta,nitarabatta@example.net,919235462459,16,1796.96
2584499,Shivansh Tata,lmahal@example.com,919235462460,2,1686.86
2667357,Nathan Kaul,wiyer@example.net,919235462461,6,1516.67
2684440,Hamsini De,omlopa@example.org,919235462462,5,650.6
2848415,Anika Raja,janigauri@example.net,919235462463,9,1798.13
2875442,Arunima Vyas,yachanabalakrishnan@example.net,919235462464,19,1858.8
2903620,Bahadurjit Rama,vbalan@example.com,919235462465,11,1815.06
2928026,Vrishti Basak,zaid12@example.net,919235462466,9,280.45
3002538,Sanya Sule,chakradevnigam@example.org,919235462467,14,489.91
3096845,Yashvi Chander,nazaretharin@example.net,919235462468,20,336.81
3100301,Wazir Saini,iyengaryashoda@example.net,919235462469,1,1530.27
3282647,Warda Pal,abhimanyu55@example.org,919235462470,18,608.27
3292927,Nisha Iyer,varkeyalexander@example.com,919235462471,6,1795.72
3399251,Ekalinga Bhatt,arya77@example.org,919235462472,20,937.11
3408982,Tripti Chakraborty,jainchandani@example.net,919235462473,5,656.97
3410758,Qabil Salvi,talwargautami@example.com,919235462474,1,1892.51
3421258,Ishita Chaudhuri,anusha59@example.com,919235462475,19,806.62
3468355,Chameli Subramanian,yash47@example.org,919235462476,12,1734.51
3483295,Maya Nath,srinivasnisha@example.net,919235462477,5,1334.49
3491230,Ucchal Chana,ikbalwagle@example.org,919235462478,14,226.62
3588443,Yashica Pingle,amrita30@example.org,919235462479,20,1727.18
3638834,Falan Nayak,aarnav41@example.com,919235462480,16,1142.06
3660263,Jagdish Bains,tahuja@example.com,919235462481,10,1573.91
3730316,Ishanvi Shankar,dasoliver@example.net,919235462482,10,215.72
3786105,Ojas Sankaran,atikhanna@example.org,919235462483,13,1172.32
3844290,Yashawini Thaman,zayan66@example.org,919235462484,2,301.73
3872421,Ladli Saran,garimadutt@example.com,919235462485,3,1468.98
3875480,Harshil Mital,qsaha@example.com,919235462486,8,1863.49
3893903,Bimala Sura,yuvrajkant@example.net,919235462487,20,1922.71
3897936,Maanav Singh,gautampandit@example.org,919235462488,14,215.16
3999964,Ansh Minhas,upadhriti34@example.org,919235462489,15,1147.01
4055790,Noah Malhotra,palleta@example.com,919235462490,13,1178.81
4057678,Brijesh Khalsa,ukant@example.org,919235462491,19,882.63
4192351,Leela Date,fariq53@example.org,919235462492,17,625.36
4200802,Chakrika Gaba,hemalkala@example.org,919235462493,10,678.96
4356173,Jalsa Khatri,reddydamini@example.com,919235462494,9,1838.56
4378755,Oscar Ratta,amrita05@example.net,919235462495,2,1144.9
4386273,Jagrati Sengupta,abhatia@example.com,919235462496,12,298.97
4394659,Xalak Goel,aryan46@example.com,919235462497,7,291.77
4438410,Siya Mittal,krishnavedhika@example.org,919235462498,11,1868.71
4439806,Balendra Sethi,lavanya06@example.com,919235462499,7,790.59
4444673,Chatresh Patla,ocontractor@example.net,919235462500,15,584.69
4458329,Nimrat Sandal,wyattsavant@example.com,919235462501,10,1617
4543215,Farhan Soni,sdeo@example.org,919235462502,6,526.7
4545935,Aayush Ahluwalia,wriddhishwagle@example.net,919235462503,7,1931.1
4594944,Hardik Mane,vaishnaviagrawal@example.com,919235462504,12,857.13
4597433,Lipika Kumer,vedhikasawhney@example.net,919235462505,3,821.84
4606533,Anusha Bhagat,ramachandranharini@example.com,919235462506,11,704.14
4618801,David Saran,ishanviratti@example.org,919235462507,11,201.56
4758426,Qushi Dash,edhar@example.org,919235462508,14,448.81
4789829,Balvan Shah,jairaj73@example.com,919235462509,6,229.76
4849477,Caleb Ram,khannaijaya@example.org,919235462510,19,1782.35
4862761,Maya Chatterjee,kamdarkalpit@example.com,919235462511,20,477.19
4869199,Advik Bajwa,cratta@example.net,919235462512,7,1695.8
4940671,Sarthak Doshi,minhasria@example.net,919235462513,7,494.03
4988545,Prisha Jha,ylad@example.net,919235462514,10,1251.78
5001749,Dayamai Chanda,inarang@example.net,919235462515,3,1623.48
5009458,Yasti Choudhary,dalbirganguly@example.org,919235462516,7,1712.14
5039883,Gavin Garg,varshadate@example.net,919235462517,15,610.99
5043760,Chatresh Dara,chandanikrish@example.net,919235462518,2,1154.94
5135207,Xalak Mittal,nathmohammed@example.net,919235462519,3,1438.23
5140660,Tripti Loke,masonnayar@example.net,919235462520,17,908.68
5226128,Wridesh Mander,vedhikavora@example.net,919235462521,10,1049.1
5228136,Oeshi Mallick,forumwable@example.com,919235462522,19,500.17
5238055,Chandani D’Alia,dinradhika@example.org,919235462523,3,1166.67
5277675,Vansha Deol,umangbabu@example.net,919235462524,9,1312.8
5369136,Yasti Wagle,shenoyharita@example.net,919235462525,8,311.45
5386246,Oeshi Dhillon,rrai@example.org,919235462526,5,1741.42
5418547,Qushi Devi,vigekiya@example.org,919235462527,20,1693.63
5540556,Lakshit Balan,odika72@example.com,919235462528,13,273.47
5607734,Riya Batta,januja42@example.net,919235462529,8,603.44
5700842,Waida Trivedi,epandya@example.com,919235462530,3,514.06
5712468,Zinal Shan,advaithsahota@example.com,919235462531,3,872.57
5716817,Xalak Master,jeet65@example.org,919235462532,3,1607.05
5751638,Xiti Wagle,ucchalsingh@example.com,919235462533,14,1230.38
5754255,Radha Rana,kmane@example.org,919235462534,1,1050.74
5763963,Chandran Seth,sahotaudarsh@example.net,919235462535,12,1118.82
5901440,Faris Chopra,jsehgal@example.com,919235462536,8,761.17
5961261,Vrishti Memon,qvohra@example.net,919235462537,17,309.79
6025470,Isaac Mander,schar@example.org,919235462538,12,1599.39
6061349,Gautami Trivedi,shahaarna@example.com,919235462539,17,332.03
6081270,Caleb Sane,charvikurian@example.net,919235462540,15,969.51
6150721,Vaishnavi Master,wazirpandit@example.org,919235462541,2,1705.17
6184558,Gaurang Grewal,miteshvarghese@example.org,919235462542,1,1352.97
6186471,Dominic Koshy,ojasvisandhu@example.com,919235462543,17,1619.95
6187807,Jairaj Tata,wramakrishnan@example.com,919235462544,10,1962.92
6245778,Reva Shanker,nborah@example.com,919235462545,17,1779.46
6247821,Mekhala Vora,lekharadhakrishnan@example.org,919235462546,15,1832.58
6291143,Banjeet Oak,benharrison@example.net,919235462547,19,1934.37
6319646,Rehaan Suresh,kalasaanvi@example.org,919235462548,9,518.17
6335221,Lajita Loyal,daminikala@example.com,919235462549,20,1518.83
6344345,Shaurya Chhabra,shaoni@example.net,919235462550,19,1110.11
